Papel,Cotação,P/L,Div.Yield,P/VP,ROIC,ROE,Patrim. Líq,PSR,Mrg Ebit,Mrg. Líq.,Liq. Corr.,Dív.Brut/ Patrim.,Cresc. Rec.5a,EV/EBIT,EV/EBITDA,P/EBIT,vpa,lpa,valor_justo_graham,potencial_graham,rank_dy,rank_roe,rank_roic,rank_potencial_graham,rank_pvp,rank_pl,rank_margem_liq,rank_cresc_receita_5a,rank_div_bruta_patrim,rank_liq_corrente,rank_margem_ebit,rank_ev_ebit,rank_ev_ebitda,rank_p_ebit,RANK_RESULTADO,segmento
CSMG3,"17,25","6,06","9,68",87,"12,55","14,28","7581400000,0","9,73","23,14","16,06","1,19","0,53","8,16","6,27","4,21","4,2","19,94","2,85","35,76","107,3","29,0","81,0","60,0","26,0","18,0","35,0","35,0","72,0","40,0","54,0","43,0","53,5","40,0","46,0","590,7",Água e Saneamento
CSRN3,"24,1","6,34","12,43",266,"19,21","41,93","1524000000,0","11,2","26,58","17,68","0,84","1,66","10,65","6,43","5,5","4,21","9,17","3,56","27,1","12,45","13,0","10,5","38,5","63,0","70,0","40,5","31,5","60,5","71,5","70,0","28,5","58,0","62,0","47,0","621,71",Energia Elétrica
EKTR4,"39,0","9,17","15,84",264,"19,58","28,83","2858000000,0","8,95","20,96","9,76","1,29","1,98","8,28","6,87","5,74","4,27","16,27","4,93","42,48","8,92","5,0","31,5","30,5","65,0","69,0","68,0","65,5","70,5","77,5","48,5","52,5","64,0","67,0","48,0","718,77",Energia Elétrica
GEPA4,"26,36","7,34","12,18",121,"20,02","16,42","2064290000,0","17,49","40,64","23,81","0,48","0,44","-0,09","5,32","4,03","4,3","21,86","3,59","42,02","59,41","15,0","69,5","26,5","34,0","29,0","51,0","17,5","83,5","29,5","74,5","12,5","41,0","36,0","49,0","523,8",Energia Elétrica
SLCE3,"37,74","9,28","7,31",161,"14,27","17,39","5298880000,0","9,6","22,01","10,97","1,99","0,93","37,23","6,28","5,73","4,36","23,38","4,07","46,27","22,6","50,0","67,0","56,0","54,0","44,0","70,5","59,0","2,0","58,0","29,0","49,0","55,0","66,0","50,0","663,86",Agricultura
AURA33,"34,8","11,27","4,18",153,"19,72","13,62","1604110000,0","12,91","29,49","11,46","1,24","0,72","7,15","5,49","5,49","4,38","22,68","3,09","39,71","14,11","84,0","84,0","29,0","60,0","40,0","81,5","56,0","78,0","48,5","51,0","21,0","44,0","61,0","51,0","742,38",Minerais Metálicos
CSRN5,"25,12","6,61","13,12",277,"19,21","41,93","1524000000,0","11,68","26,58","17,68","0,84","1,66","10,65","6,61","5,65","4,39","9,17","3,56","27,1","7,88","9,0","10,5","38,5","66,0","71,0","45,0","31,5","60,5","71,5","70,0","28,5","61,0","64,0","52,0","631,39",Energia Elétrica
UNIP3,"70,22","9,31","8,94",280,"38,68","30,02","2609270000,0","11,64","26,24","12,53","2,0","0,5","25,15","4,42","3,84","4,44","25,12","7,54","65,28","-7,04","35,0","23,0","5,0","71,0","72,0","72,0","52,0","17,0","35,5","27,0","32,0","24,0","29,0","53,0","498,94",Químicos Diversos
ROMI3,"11,78","4,75","7,98",94,"12,21","19,89","1107180000,0","6,96","15,36","14,72","2,31","0,74","21,8","6,82","5,52","4,53","12,38","2,49","26,34","123,6","42,0","52,0","63,0","18,0","22,0","16,0","40,0","21,0","51,0","17,0","64,0","63,0","63,0","54,0","536,53",Máq. e Equip. Industriais
TASA3,"15,2","6,24","9,18",182,"24,33","29,14","1058530000,0","8,91","19,51","14,27","1,55","0,43","29,51","5,14","4,77","4,56","0,0","0,0","0,0","0,0","31,0","29,5","17,5","69,0","54,0","38,0","41,5","10,5","27,5","38,5","55,5","37,0","48,0","55,0","502,06",
