ativos,tipo
VISC11,FII
XPLG11,FII
VINO11,FII
CPTS11,FII
DEVA11,FII
RECT11,FII
KNRI11,FII
RZTR11,FII
HCTR11,FII
MXRF11,FII
HGLG11,FII
TAEE11,ACAO
AURE3,ACAO
VALE3,ACAO
TRPL4,ACAO
JALL3,ACAO
GOAU4,ACAO
CSAN3,ACAO
CMIG4,ACAO
CXSE3,ACAO
KLBN4,ACAO
PETR4,ACAO
BBSE3,ACAO
SAPR11,ACAO
BBAS3,ACAO
TAEE4,ACAO
AESB3,ACAO
BMGB4,ACAO
